start_time,start_station_id,end_station_id,start_lat,start_lng,end_lat,end_lng,avgTemp,value,bike_rides_daily
2022-01-15,5989.504735260321,5983.471579598692,40.73890946644113,-73.97539895475717,40.73868590450726,-73.97566286376087,-6.7,1.0,22626.0
2022-01-16,5979.812861969112,5974.02438030888,40.738548945603746,-73.97555298369966,40.73831629183052,-73.97589651491674,-8.0,1.0,20720.0
2022-01-17,6003.737615729561,5998.633040808582,40.73929883741751,-73.97590480065624,40.73911231060984,-73.97599968756492,3.9,1.0,28990.0
2022-01-18,6051.7572967289725,6048.269639702789,40.740878967487276,-73.97634944038238,40.74073763328559,-73.97649421054811,1.8,1.0,42800.0
2022-01-19,6042.3099066062605,6038.086239717761,40.740560525846455,-73.97639554813124,40.7404131446,-73.97644318137235,3.2,1.0,53858.0
2022-01-20,6043.234105175885,6039.892565514791,40.7406666039377,-73.97586788149742,40.740560014411045,-73.97577807017262,5.1,1.0,33772.0
2022-01-21,6026.8454069871605,6021.907631681157,40.74011432830115,-73.97607314875293,40.739891380941366,-73.97628092135692,-6.0,1.0,33490.0
2022-01-22,5972.905016341923,5967.302271041549,40.738317846875404,-73.9761900668013,40.738100321437166,-73.97656212086831,-5.9,1.0,31820.0
2022-01-23,5981.430118312601,5973.737468901122,40.7385810260789,-73.97579865933871,40.73828334020985,-73.97602920716267,-0.7,1.0,32879.0
2022-01-24,6031.8499688623915,6028.364729054528,40.74016243585352,-73.97671516871632,40.74005208071804,-73.97677835106356,-0.20000000000000004,1.0,41429.0
2022-01-25,6047.185033977323,6042.088253062031,40.740688071242545,-73.97661665024133,40.74050706246211,-73.9767726975648,3.6,1.0,50622.0
2022-01-26,6030.208856276994,6028.587402873234,40.74010907801309,-73.97676473359091,40.74002132247839,-73.97697827767148,-2.3,1.0,41908.0
2022-01-27,6023.798290234812,6020.321112787799,40.73987640321919,-73.97683713501819,40.73976460603989,-73.97702746013927,-4.2,1.0,43737.0
2022-01-28,6029.245800776197,6029.301827851886,40.740210084492425,-73.97614101148429,40.740200281167965,-73.97631248597263,0.1,1.0,34785.0
2022-01-29,6028.097422570309,6028.939248575499,40.74047432175306,-73.97397532845501,40.7404885590189,-73.97392753522463,-4.8,1.0,2809.0
2022-01-30,6022.4748481295965,6017.24652989449,40.7400060203411,-73.97591988652776,40.73980886972925,-73.97604860576595,-7.1000000000000005,1.0,9383.0
2022-01-31,6092.221783113029,6088.474898390433,40.74231133169271,-73.97713595147951,40.742160595376895,-73.97719633102771,-3.4,1.0,22243.0
2022-02-01,6080.024524061976,6075.763593856889,40.741837780547336,-73.97722074909431,40.74166164374422,-73.97724053830265,-1.7,1.0,29239.0
2022-02-02,6073.381742627346,6070.978305165892,40.74160752999225,-73.97712105409042,40.741526896507835,-73.97711482632063,2.3,1.0,41776.0
2022-02-03,6024.575894967342,6022.1182904821235,40.74003859342886,-73.97614936577273,40.7399653113974,-73.97621145814287,6.4,1.0,26490.0
2022-02-04,5984.450451198419,5982.215707013295,40.73866944453342,-73.9762909504019,40.7385665821755,-73.97626781891275,5.8,1.0,20236.0
2022-02-05,5938.13060348908,5928.390162642862,40.737000534889276,-73.9769232734277,40.73663358118206,-73.97729348590362,-2.8,1.0,29578.0
2022-02-06,5990.084056534892,5981.45685954724,40.738848066468144,-73.97625921735131,40.73853178955657,-73.97644003614099,-4.8,1.0,28761.0
2022-02-07,6032.612926161369,6029.613902001695,40.740241161549584,-73.97689159231754,40.740133918119454,-73.97690795346449,0.5,1.0,30675.0
